"","logFC","logCPM","PValue","FDR"
"YDL039C",2.80122669750024,7.25887438134616,9.73193982114997e-38,1.22518910471797e-35
"YDL182W",1.17436955831081,8.22510913486214,2.71975213959122e-37,3.35266112707526e-35
"YNL284C-A",-5.12093154338604,4.75129135368668,5.37365329519837e-37,6.48896051993649e-35
"YNL160W",2.04280173826849,6.89145040883066,3.30938240752441e-36,3.91632314106439e-34
"YIL117C",-1.25648697498723,7.43071160386119,3.67081095280185e-36,4.25886047210363e-34
"YLR155C",-1.09317662493475,7.93776779814395,1.05985723215683e-35,1.20599523897538e-33
"YLR157C",-1.09317533862838,7.93776779814395,1.08287535668285e-35,1.20893839348914e-33
"YLR158C",-1.0931734373361,7.93776779814395,1.11781247822276e-35,1.2171708362743e-33
"YLR160C",-1.09317271430769,7.93776779814395,1.13139083986964e-35,1.2171708362743e-33
"YHR219W",-1.22004435008162,9.60366189613063,3.53481416235537e-35,3.73490989261727e-33
"YLR227W-B",2.32834368475022,8.2061043249189,7.54283057698764e-35,7.82998746035717e-33
"YBR230W-A",-1.94797846109765,6.06428211334351,1.72086416448577e-34,1.7555781484935e-32
"YOR227W",-1.20307098331168,7.54031515204125,8.88699731894982e-34,8.91260392139425e-32
"YLR348C",-1.18489904592934,8.08978252183794,4.30771842029017e-33,4.24812831547616e-31
"YEL044W",-1.26418394236632,7.27159174551273,9.8427316952495e-33,9.54744974439201e-31
"YDR044W",1.43091835803082,7.76979700960855,4.03061402016568e-32,3.84663599311618e-30
"YOL155C",1.74164751889317,7.97544688625691,4.2934523810091e-32,4.03243773625886e-30
"YER056C",1.16634791174282,8.10116215395441,4.392768154591e-32,4.06125143292421e-30
"YCR021C",1.98250905725793,6.02213600340009,1.16208541665081e-31,1.05785529389582e-29
"YMR006C",1.3944038730259,7.09353471065768,3.35571018378094e-31,3.00844502385331e-29
"YER042W",-1.50100538452334,6.02365613150786,3.93308903573499e-31,3.47344594394685e-29
"YDR277C",1.35631506788311,7.03605681462014,1.33456668932428e-30,1.16126927951938e-28
"YER072W",1.04904699122849,8.15319038568308,2.10690157075978e-30,1.80674443393994e-28
"YLR300W",1.09833285456097,9.03040508512338,3.18603288092253e-30,2.69310807948837e-28
"YER053C",1.11222612760479,7.33714088485071,4.66685037524518e-30,3.88926108032757e-28
"YBR070C",-1.7284505886805,5.6580518041476,8.13080569393888e-30,6.68194129042172e-28
"YGL028C",1.34443805195893,6.51005834086,1.07261703915483e-29,8.69407537079334e-28
"YOL158C",1.44585788587218,7.69388275372133,1.75521411337998e-29,1.40345971741478e-27
"YMR244C-A",-1.54182970265153,5.76884468518136,2.54580064139872e-29,2.00846698602083e-27
"YAL061W",1.82168564469581,7.3841789378855,3.00496907486184e-29,2.33952658104704e-27
"YDR011W",1.02740958045809,7.73400677162248,3.85911192442305e-29,2.96550198140405e-27
"YIR039C",-1.56275669181919,5.85889996859725,7.96551825943586e-29,6.04256045398487e-27
"YHL050C",-1.78069710152592,6.98352927749619,2.67491469465988e-28,2.00347724662057e-26
"YGR027W-B",2.33085907922079,8.42994266597774,3.61997110437442e-28,2.67742112807293e-26
"YFL054C",-1.93248499028087,7.15185559772112,4.70243220536632e-28,3.4350976986608e-26
"YMR045C",1.82186031510507,7.67721578920476,5.32191063611951e-28,3.84021283340477e-26
"YDR216W",-1.46680477103612,6.66075164495924,6.68767110118376e-28,4.76758432598847e-26
"YDR452W",-0.915478919307966,8.10816346913878,7.91245303256222e-28,5.5735695944846e-26
"YMR272C",1.13880274640112,7.38310324292059,9.0632948767948e-28,6.30911950423469e-26
"YAR071W",2.83264662461653,6.22725790143846,1.05382558077641e-27,7.25056507145817e-26
"YHR216W",0.966462633952842,8.10345659537977,3.57999806829761e-27,2.43481018047321e-25
"YKL182W",0.799501834146765,9.57952263849482,5.99626255018047e-27,4.03180517152476e-25
"YLR108C",-1.89254618656353,6.02808133167013,2.02220767908167e-26,1.34442728507036e-24
"YMR280C",-1.49509585605504,6.23485071229513,2.04813053244358e-26,1.34653204005207e-24
"YDL022W",0.993159010070725,8.78519010388875,3.29238841130463e-26,2.14077606919665e-24
"YGL255W",1.21807102094357,6.67460677630811,3.98454785241692e-26,2.56267061334249e-24
"YHL020C",-1.04270527742701,7.50608580491654,1.04524851430086e-25,6.65025318184749e-24
"YIR042C",-2.31903192491711,4.76731788800418,2.92011234437925e-25,1.83811752571192e-23
"YGR035C",3.43986982563014,5.27070879470852,6.23124981486199e-25,3.8810847531093e-23
"YGR161W-C",-1.37050664445986,5.90505336179666,6.94315618149791e-25,4.25696312684641e-23
"YNL327W",0.949786226230749,8.30071857779524,6.97862807679739e-25,4.25696312684641e-23
"YBR244W",2.39323637055034,4.937391618833,1.13895341430049e-24,6.87672178817958e-23
"YDL037C",3.30669035518694,4.44903257161081,1.83972061226055e-24,1.09955826896421e-22
"YER124C",1.52230362213153,6.30897365643955,2.87951704063825e-24,1.70381023294565e-22
"YMR195W",1.10480702161267,6.60255020991839,4.84173270115214e-24,2.83648835571457e-22
"YKL109W",1.69897940919008,7.50973451301146,7.74638695770372e-24,4.49366388516989e-22
"YNL300W",1.40557570212268,6.13142019747827,1.03149842689269e-23,5.92560795332432e-22
"YOL110W",-1.70880501015143,6.60194448580184,2.13689840269776e-23,1.21577190853487e-21
"YHR143W",0.901548797323899,8.75327016780816,2.23357239986443e-23,1.25867122761884e-21
"YPL134C",-1.62177867738707,6.24164928238041,2.34408794698485e-23,1.30848758323673e-21
"YDL244W",-4.05366980380426,3.48585296983361,5.42231415335835e-23,2.99848905097396e-21
"YOR222W",-1.09104713953551,7.53035282627436,6.03845144922959e-23,3.30828863195292e-21
"YLR264W",1.16103814105307,7.06629844285102,6.30867778772812e-23,3.4246281165126e-21
"YDL229W",0.659477398620226,11.3435929639894,6.64312743049394e-23,3.54885282367644e-21
"YLR258W",1.5988780447737,8.6191881321199,6.65747276369926e-23,3.54885282367644e-21
"YBL005W-B",2.1202025993529,7.34785119043544,1.50427296898703e-22,7.90870316245448e-21
"YIL046W",-1.09411270290283,6.82370546376017,1.51036582281115e-22,7.90870316245448e-21
"YER004W",-0.867192545977456,7.813754592767,1.54269365627653e-22,8.00712137209493e-21
"YPR015C",-2.3251093705958,4.51987852424261,1.57038784555029e-22,8.07998685401833e-21
"YHL021C",1.18251042169247,7.78412749732105,1.79752267264274e-22,9.16891521898888e-21
"YGR189C",-0.924987575673963,9.64021282365931,3.79225355340595e-22,1.91784310047034e-20
"YDR111C",-1.31013130895881,6.74573177830942,4.2217578155671e-22,2.11696110124666e-20
"YGL035C",-0.998071551468717,7.92648062084182,8.28235875779596e-22,4.11821149326712e-20
"YOR204W",1.01177689598228,6.90579829752625,1.30696454371641e-21,6.44442433764168e-20
"YNL217W",1.15855985191467,7.18743330420778,1.70882253023957e-21,8.35628339787398e-20
"YGR087C",-3.05705560449366,3.97113226561681,2.32849480244128e-21,1.12931997918402e-19
"YDR059C",-1.42880249276944,5.49583434423895,2.80769299282283e-21,1.35066011695388e-19
"YLR050C",-1.14785827160819,6.33739370884473,2.88221233279996e-21,1.37532664299818e-19
"YDL137W",-0.761746081399102,8.61637793315176,3.87220935314631e-21,1.83294901940534e-19
"YPL163C",1.08468033204507,7.13906841841746,4.27350206115114e-21,2.00685013458979e-19
"YPL095C",1.64173866097491,6.13812495293903,4.43421641272729e-21,2.06592586725255e-19
"YLR356W",-1.31404255804096,6.04992411962375,4.51465608864415e-21,2.08697031847714e-19
"YFR030W",-1.31493527915945,6.57777504901394,5.58011059465705e-21,2.55949723942525e-19
"YLL060C",-1.48606843957205,5.87668496171247,9.93293040442736e-21,4.52101147715359e-19
"YHR214C-B",2.52563467790912,7.89672818203577,1.11721820771727e-20,5.04624437791077e-19
"YLR312C",-1.92908246493161,4.88321862238407,1.59148986336643e-20,7.13397387995389e-19
"YOR328W",-1.25543665612211,5.8891419961056,2.20270365426352e-20,9.79954700923099e-19
"YHR174W",0.849535608771678,13.9061706961453,2.29384919566135e-20,1.01282767875005e-18
"YOR306C",1.057864222078,6.64212370506204,2.31082874144426e-20,1.01282767875005e-18
"YJR078W",-2.47462234819915,4.10415870620061,2.70197899349542e-20,1.1755595370965e-18
"YDL173W",-0.892382080663072,7.69651002234578,3.74548383675422e-20,1.61766626730472e-18
"YBL044W",-3.26609751459084,3.54172281975324,3.97455572349509e-20,1.7041627692696e-18
"YLR332W",-0.824703361893313,8.066430296811,4.36889762676544e-20,1.85976742860224e-18
"YLL061W",-1.42122741737668,6.63457896307565,4.40741039150724e-20,1.86276052046774e-18
"YKL043W",0.942608116526823,7.29411816896133,4.55667111705889e-20,1.91218602834308e-18
"YGL062W",-1.00142333058644,8.04056723551303,1.19829739691367e-19,4.99318711094238e-18
"YPR075C",-0.996769688182771,7.82806911678924,1.33895089525973e-19,5.54026045262366e-18
"YER037W",1.52806752655255,5.48880304462844,2.75572711660921e-19,1.13233592701227e-17
"YGR159C",1.15954694075622,9.09773089794725,2.78284121203714e-19,1.13559113459474e-17
"YLR250W",-0.870170513011609,7.26704189592739,3.33171436032145e-19,1.35025711438507e-17
"YIL094C",0.791461555596853,7.79392720988581,3.62966195246893e-19,1.46100066481352e-17
"YMR173W",1.00175931940153,8.80717493256212,3.89478490036913e-19,1.5571244767219e-17
"YGR008C",0.911941289830271,8.05008808666962,4.30501177171458e-19,1.70958084921041e-17
"YIL053W",-0.795772431287965,11.2927481745684,4.95673289466417e-19,1.95526590251519e-17
"R0010W",-0.864754420083405,10.1318501960607,5.41337105981458e-19,2.121252752379e-17
"YLR151C",-1.39855975509242,5.69963412006026,5.70591372354284e-19,2.22117707251335e-17
"YBR299W",-2.05328883686232,4.86796377543751,6.76850274877752e-19,2.61759678199455e-17
"R0020C",-0.840560114271885,10.1380115690398,8.03050619288835e-19,3.08548734696885e-17
"YER146W",-1.0382145346089,6.70932583572466,8.17659667502803e-19,3.12134984039618e-17
"YOR178C",1.29403162149165,6.23894900864216,1.08934341966114e-18,4.13182372700961e-17
"YOR383C",-1.18995959808076,11.4297790917398,1.2494125937669e-18,4.70877345052148e-17
"YHR146W",-0.927472066392046,7.84670199615426,1.33674089937114e-18,5.00601006429054e-17
"YJR025C",-1.16336562628547,6.47151839325485,1.54512329032382e-18,5.74999654644406e-17
"YBR011C",-0.624034195033104,10.2345257357409,1.61583860125167e-18,5.97557312725383e-17
"YEL071W",-1.16050069617047,8.74421943833643,1.71158570784636e-18,6.29034325051361e-17
"YLR324W",-0.889511829412349,6.92657665118185,2.02090446124929e-18,7.38129117111856e-17
"YDL048C",0.904864403017146,7.21726871168943,2.05917529710382e-18,7.4749326582597e-17
"YGL008C",0.630151783467345,11.3620067601088,2.07571297662342e-18,7.48902053821997e-17
"YAL003W",0.756204716397727,9.80855785461775,2.38539171990606e-18,8.55415927677827e-17
"YBR241C",-1.47180654259069,6.71794288509275,2.90837731190007e-18,1.0366788285851e-16
"YLL023C",-0.844445350465279,7.41355250358402,3.47020509655378e-18,1.22953314708435e-16
"YDR281C",3.41577874172586,3.16434653620014,3.66890897873977e-18,1.29219847780971e-16
"YIL011W",1.4218306773013,5.15600621194676,4.50320781321226e-18,1.57665565862585e-16
"YGR138C",1.52280465702174,6.20854655009765,4.86261888890523e-18,1.69247740974425e-16
"YLL050C",-0.782815571769961,9.0207286765638,7.20091988108259e-18,2.49168672142489e-16
"YGR096W",-1.33410704200121,5.50854517067483,7.53724254529317e-18,2.59289907793603e-16
"YNR050C",0.812950784047602,7.44030685674686,8.62406028187078e-18,2.94962801663754e-16
"YGR067C",-1.92901551117888,4.81038002186378,9.0604714593937e-18,3.0810810129444e-16
"YLR180W",0.774364641808548,8.90509929797723,1.14418477466174e-17,3.86865217809914e-16
"YHR080C",-0.949467681694935,6.72246968431116,1.24359220142953e-17,4.1808721908287e-16
"YML101C",-1.15631297337029,5.7939148544523,1.44406483364589e-17,4.827418994736e-16
"YDR092W",-0.959869692418506,6.83625209729549,2.45279656030128e-17,8.15348159960824e-16
"YCL064C",1.06391173116991,8.40108628448743,2.61931739682328e-17,8.65838046759965e-16
"YGL162W",1.32410534663807,5.76891666244016,2.78920356093441e-17,9.16873192780496e-16
"YDL241W",1.52905536423633,4.59062093717446,2.94014696013698e-17,9.61151909565223e-16
"YDR343C",1.35575164988099,8.78626540798321,4.26242789976364e-17,1.38575746609349e-15
"YOR375C",-0.744329092223443,9.76328778030182,5.76444731957249e-17,1.86383796666177e-15
"YGR233C",1.0128665257252,6.23862451489134,7.97239557171344e-17,2.56373177162111e-15
"YPL222W",-1.31458107454935,6.10015638836537,1.11774670482566e-16,3.57497689321808e-15
"YER190C-B",-1.13097082697195,7.63935465966773,1.20825562906176e-16,3.84368201997766e-15
"YHR142W",-0.854982147046484,7.06152369642351,1.23509857374467e-16,3.90806324109476e-15
"YPR160W",1.84995353737305,8.01789984575998,1.29234299087977e-16,4.06744333884872e-15
"YPR065W",-1.20199488055064,6.39547423049278,1.38214253909554e-16,4.32705682742239e-15
"YGR110W",-2.07740539500914,4.35219356224164,1.51580185182203e-16,4.72052608275312e-15
"YDR525W-A",-1.60991623172474,5.38360432692571,1.98325903981468e-16,6.1439496013526e-15
