"","logFC","logCPM","PValue","FDR"
"YOL100W",-0.596324810568613,6.29215902135234,5.00343390679769e-07,2.24282715352439e-06
"YGL167C",-0.433741614598846,7.98537539282378,5.02453046626938e-07,2.25028546425537e-06
"YGR167W",-0.436319831568513,8.0553523691449,5.02767852585026e-07,2.25028546425537e-06
"YLR023C",-0.511310468921256,6.46593405797056,5.05193818713086e-07,2.25943448626253e-06
"YDL090C",-0.718943830426917,5.59933206632601,5.18820884444723e-07,2.31862777436513e-06
"YMR014W",1.11471397435433,5.84731782222888,5.24549593753235e-07,2.34246033678331e-06
"YGL080W",-0.950414602040359,6.04671337461457,5.25112435013126e-07,2.34320533783761e-06
"YPL171C",-1.55618387694461,3.47305525528339,5.31540724570941e-07,2.37010283894971e-06
"YDR476C",-0.547005038498456,7.75373003412719,5.33373858080234e-07,2.37648578182285e-06
"YKL221W",-1.80008405964406,3.18549647610978,5.52880082190662e-07,2.46154360144631e-06
"YBR062C",-0.652780530293779,5.59824812197316,5.54311662432086e-07,2.46606173429372e-06
"YIR041W",-2.33764334517213,2.60868689135141,5.6638892304275e-07,2.51789876607359e-06
"YLR148W",-0.705470110454863,5.28308313551146,5.68757230554534e-07,2.5265289288222e-06
"YER095W",-0.74638013799885,7.2108237416032,5.71805051442609e-07,2.53816240764135e-06
"YKL201C",-0.665440310608218,6.10285581953126,5.78352617933419e-07,2.56530167939433e-06
"YDR181C",-0.680181634199473,5.54937641181703,5.89021411502962e-07,2.61066643585246e-06
"YOR075W",-0.993498947866095,5.03707332399695,5.89778371389004e-07,2.61206483795564e-06
"YFL040W",-1.12805230684281,4.04034241614255,5.92142313348404e-07,2.62057297537959e-06
"YGR061C",0.680520176480052,8.81344142135561,6.0573423097737e-07,2.67812642478941e-06
"YDR365C",0.680397445472162,7.63317942675684,6.06052270203316e-07,2.67812642478941e-06
"YGL047W",-0.913617180965942,5.74936788081884,6.07864460858929e-07,2.68412986186737e-06
"YLR299W",-0.733363560349796,7.18192949009344,6.13650712272307e-07,2.70765940679735e-06
"YDL149W",-0.767458673510162,5.53965215355352,6.37378111760655e-07,2.81025803821743e-06
"YPL248C",-0.707615071106066,5.50642723016938,6.39882717095157e-07,2.81920032542967e-06
"YDL200C",-0.970023608152969,4.35255207570009,6.56726051641146e-07,2.89125598776835e-06
"YBR110W",-0.581616231437242,6.33505883897522,6.60958844552053e-07,2.90559134961061e-06
